ID,Canonical_Smiles,Inhibition
TRAIN_00000,Cl.OC1(Cc2cccc(Br)c2)CCNCC1,12.5
TRAIN_00001,Brc1ccc2OCCc3ccnc1c23,4.45
TRAIN_00002,CC1(CO)CC(=NO1)c2cc(c(F)cc2Cl)[N+](=O)[O-],4.92
TRAIN_00003,Fc1ccc2nc(Nc3cccc(COc4cccc(c4)C(=O)N5CCOCC5)c3)[nH]c2c1,71.5
TRAIN_00004,CC(C)CC(=O)C1=C(Nc2c(Cl)ccc(Cl)c2C1=O)S(=O)C,18.3
TRAIN_00005,O\C(=C\1/OCCN(Cc2ccccc2)C1=O)\C3CCOCC3,1.28
TRAIN_00006,CS(=O)(=O)OCC(COCc1c(F)cccc1F)OS(=O)(=O)C,8.18
TRAIN_00007,[O-][N+](=O)c1cn2C[C@@H](COc2n1)OC3CCCCO3,13.2
TRAIN_00008,Cc1cc(nc(Nc2ccc(C#N)c(c2)C(F)(F)F)n1)N3CCC(CC3)C(=O)NC(C)(C)C,64.9
TRAIN_00009,COC(=O)c1c(C)nc2N(C)CCc2c1OS(=O)(=O)C(F)(F)F,53.5
TRAIN_00010,FC(F)(F)C(F)(F)COCc1cc(N\N=C/2\N=C(OC2=O)c3ccccc3)ccc1Cl,91.8
TRAIN_00011,Fc1ccc2[nH]c(Nc3ncccc3OCc4cccc(c4)C#N)nc2c1,71.0
TRAIN_00012,COC(=O)c1cc2cc(F)ccc2n1CC(=C)Cl,21.4
TRAIN_00013,CCc1cccc2C(=O)C(=C(NCCc3ccc(OC)c(OC)c3)Nc12)C(=O)C,85.4
TRAIN_00014,COc1ccc(cc1)[C@H](O)[C@H]2OCCN(Cc3ccccc3)C2=O,13.3
TRAIN_00015,Cc1nc(C)c(C(=O)NCc2ccccc2)c(c3ccc(Cl)cc3)c1C(=O)O,16.2
TRAIN_00016,CCCNC(=O)[C@@H]1CCCN1C(=S)Nc2ccccc2,8.62
TRAIN_00017,COc1ccc(CN2Cc3c(Cl)ccnc3C2=O)cc1OC,9.89
TRAIN_00018,CC(C)(C)OC(=O)N1CCC(CC1)c2nc(COc3ccc(cc3)n4cnnn4)cs2,31.2
TRAIN_00019,CSC1=C(C(=O)C)C(=O)c2cc(F)c(F)cc2N1,15.0
TRAIN_00020,CC(=C)COC(=O)C1OC(C)(C)OC1C(=O)OCC(=C)C,26.1
TRAIN_00021,OC(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1O,6.4
TRAIN_00022,CCOC(=O)C1CCN(CC1)c2nc(ncc2OC)c3ccc(cc3)S(=O)(=O)C,7.98
TRAIN_00023,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2C(=O)N(Cc3ccc(OC)cc3)CCc2c1Cl,2.99
TRAIN_00024,COc1ccc(cc1)C2(ON(C)C(=N2)N)C3(COc4cc(F)cc(F)c4)CCCCC3,90.5
TRAIN_00025,CC(C)CNC1=C(C(=O)C)C(=O)c2c(Cl)c(Cl)c(Cl)cc2N1,40.2
TRAIN_00026,COC(=O)C(=C(C)\N=C\1/CCCN1C)C(=O)OC,0.0
TRAIN_00027,COc1ccc(cc1)c2cc3c(NC(C)c4ccccc4)ncnc3[nH]2,36.2
TRAIN_00028,OCCc1cc(Cl)nc2c(Br)ccc(O)c12,60.8
TRAIN_00029,Cc1ccc(C)c(NC(=O)CC(=O)Nc2nccs2)c1,14.4
TRAIN_00030,CN1N(C(F)F)C(=CC1=O)c2cc(C)c(Cl)cc2F,72.4
TRAIN_00031,CC(=O)C1=C(NN2CCOCC2)Nc3c(Cl)cc(cc3C1=O)[N+](=O)[O-],27.0
TRAIN_00032,CCc1cccc2C(=O)C(=C(NC3CCCCC3C)Nc12)C(=O)C,57.4
TRAIN_00033,CCCOC(=O)[C@@H]1[C@H](C)N1C(=O)OCc2ccccc2,7.92
TRAIN_00034,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C(=O)OC)c(C)c1c2ccc(N)cc2,88.8
TRAIN_00035,CCOC(=O)Cc1cc(Cl)nc2c(Br)ccc(OC)c12,4.21
TRAIN_00036,CCOC(=O)c1cc(C(=O)OCC)n(CCCC#N)c1,0.0
TRAIN_00037,CCOC(=O)c1c(C)nc2C(=O)N(CC3CCCCC3)C(C)(C)c2c1c4ccc(Cl)cc4,60.9
TRAIN_00038,SC1=C(C(=O)c2ccccc2)C(=O)c3ccccc3N1,61.6
TRAIN_00039,Cl.C=CC(=O)N1CC[C@H](C1)Nc2nc(nc3[nH]ncc23)c4ccc(Oc5ccccc5)cc4,42.1
TRAIN_00040,CCOC(=O)C(F)Cc1cc(N)c(F)cc1Cl,33.6
TRAIN_00041,COc1ccc(Br)c2NC(=O)C=C(CCO)c12,0.0
TRAIN_00042,COC(=O)CCc1cc(C)c(c(C)c1)c2nc3cc(NC(=O)N4CCOCC4)ccc3[nH]2,25.3
TRAIN_00043,CCOC(=O)\C(=C(\O)/C(F)(F)F)\N(CC)CC,6.76
TRAIN_00044,COC(=O)c1oc2ccccc2c1OCCCCl,39.0
TRAIN_00045,O=S(=O)(\C=C/1\CCCC2OC12)c3ccccc3,12.5
TRAIN_00046,CCOc1ccccc1O[C@H]([C@@H]2CNCCO2)c3ccccc3,31.0
TRAIN_00047,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2c(c1Cl)c3CCCCc3n2C,0.0
TRAIN_00048,CC(C)c1noc(CCCNc2nc(C)cc(Cl)n2)n1,0.0
TRAIN_00049,CC(=O)Nc1nc(cn1C2CN(Cc3cccc(c3)C(F)(F)F)C[C@@H]2O)c4ccccc4,71.7
TRAIN_00050,CCOC(=O)C1=C2SCCN2c3cc4OCOc4cc3C1=O,14.2
TRAIN_00051,CCCC(=O)C1=C(c2cc(Cl)cc(c2OC1=O)C(F)(F)F)S(=O)C,21.3
TRAIN_00052,Clc1ncc(Br)cc1c2nnc3ccc(NCc4ccccc4)nn23,32.6
TRAIN_00053,C\C(=N/N(Cc1c(F)cccc1F)c2ccc(C)cc2)\C(=O)NC(C)(C)C,45.7
TRAIN_00054,COc1ccc(C)c(NC2=C(C(=O)C)C(=O)c3c(OC)ccc(C)c3N2)c1,54.0
TRAIN_00055,CC(C)(C)OC(=O)Nc1ccncc1I,63.7
TRAIN_00056,CN[C@@H](CCOc1cccc2ccccc12)c3ccccc3,11.6
TRAIN_00057,Cc1ccc(Nc2nc(N)nc(CN3CCN(CC3)c4ccccc4)n2)c(C)c1,43.6
TRAIN_00058,CN(C(CN1CCCC1)c2ccc(cc2)c3cccc(c3)C(=O)N)C(=O)CN4CCc5ccccc45,45.9
TRAIN_00059,COc1cc(Br)c(cc1OC)S(=O)(=O)Nc2ccc(OCCN(C)C)nc2,18.8
TRAIN_00060,C=CCCCS(=O)(=O)c1nnnn1c2ccccc2,50.2
TRAIN_00061,Cc1ccc(cc1)N(Cc2ccccc2)\N=C\C(=O)NN3CCCCC3,16.5
TRAIN_00062,Cc1onc(COCc2c(Cl)c(ccc2S(=O)(=O)C)C(=O)O)n1,1.18
TRAIN_00063,Clc1ccc2N=C(OC(=O)c2c1)c3ccccc3,5.96
TRAIN_00064,CCOC(=O)c1c(C)nc2c(ccn2Cc3cccc(F)c3F)c1O,17.4
TRAIN_00065,COC(=O)c1ccc(NC(=O)OC(C)(C)C)c(O)c1,0.0
TRAIN_00066,OC(=O)c1cccc(c1)c2ccc(cc2)N(CCN3CCOCC3)C(=O)Nc4ccc(Cl)cc4,29.5
TRAIN_00067,COc1cc(Br)c(cc1OC)S(=O)(=O)N[C@@H]2CCCN(C2)C(=O)c3ccccc3,75.8
TRAIN_00068,CN(c1ccc(cc1F)S(=O)(=O)C)c2ncnc3c(Br)csc23,30.0
TRAIN_00069,CC(C)(C)OC(=O)n1ccc2c(Cl)nc(Cl)nc12,11.4
TRAIN_00070,Cc1cc(nc(OCCCC#N)c1C(=O)C2C(=O)C3CCC(C3)C2=O)C(F)(F)F,0.0
TRAIN_00071,CSC1=C(C(=O)C)C(=O)c2c(N1)c(ccc2C(F)(F)F)C(F)(F)F,48.2
TRAIN_00072,COc1cc(OC)cc(c1)N(Cc2c(F)cccc2Cl)C(=O)Cc3ccncc3,88.0
TRAIN_00073,Nc1oc(c2ccc(Cl)cc2)c(n1)c3ccc(Cl)cc3,95.6
TRAIN_00074,O=C(NCCN1CCC(C1)(c2ccccc2)c3ccccc3)Nc4ccnc5ccsc45,88.1
TRAIN_00075,CN(C1CCN(CC1)C(=O)OC(C)(C)C)c2nccc3c(Br)csc23,40.1
TRAIN_00076,Nc1cccc(Nc2nc(Cl)nc3[nH]ccc23)c1,77.1
TRAIN_00077,CCCCOc1nc(N)c2NC(=O)CN(Cc3cccc(CN4CCCC4)c3)c2n1,29.2
TRAIN_00078,Cc1ccc(cc1)S(=O)(=O)CC(=O)c2ccc(Cl)cc2,60.6
TRAIN_00079,CCOC(OCC)C#Cc1cncc(I)c1N,71.2
TRAIN_00080,COC(=O)c1c(CS(=O)(=O)c2ccccc2)n(c3ccccc13)S(=O)(=O)c4ccccc4,63.9
TRAIN_00081,COc1cc2c(oc3ccccc23)cc1NC(=O)C(=C(SC)SC)C(=O)C,50.4
TRAIN_00082,Cl.CN(C1CCNCC1)S(=O)(=O)c2ccc(Cl)s2,36.7
TRAIN_00083,CC(C)c1ccc(C)cc1OCc2nnc(NC(=O)Nc3ccc(C)cc3)s2,26.9
TRAIN_00084,COc1cc(NCc2c(F)cccc2Cl)cc(OC)c1,62.9
TRAIN_00085,[O-][N+](=O)c1c(NC(=O)c2cnccn2)cc(cc1C(F)(F)F)C(F)(F)F,0.0
TRAIN_00086,CC(=O)C(=C1SCCCS1)C(=O)Nc2ccccc2,25.0
TRAIN_00087,Clc1ccc(cc1Cl)c2nnc(NC(=O)Cc3ccccc3)s2,33.8
TRAIN_00088,Cc1cc2ncccc2c(Br)c1OS(=O)(=O)C(F)(F)F,2.83
TRAIN_00089,OC([C@@H]1C2CC(C=C2)[C@@H]1NC(=O)OCc3ccccc3)(c4ccccc4)c5ccccc5,94.0
TRAIN_00090,CC(C)c1noc(n1)C2CCN(CC2)c3nc(Cl)ncc3C(F)(F)F,0.0
TRAIN_00091,CC(NC(=O)c1ccc(Cl)c(Cl)c1)C(=O)Nc2ccc(OC3CCNCC3)c(Cl)c2,68.6
TRAIN_00092,Cl.CCCN(C1CCNCC1)S(=O)(=O)c2ccc(F)cc2,17.2
TRAIN_00093,CC(C)(C)OC(=O)N1CCO[C@H](Cn2nnc3ncc(Br)nc23)C1,14.9
TRAIN_00094,CN(Cc1ccc(F)cc1)Cc2ccc(cc2)[N+](=O)[O-],0.0
TRAIN_00095,Cc1cnc(cn1)C(=O)Nc2cc(Cl)c(Cl)c(Cl)c2,0.0
TRAIN_00096,CCC(=O)CC(=O)Nc1cccc(Cl)c1Cl,24.7
TRAIN_00097,CCOC(=O)\C(=C\1/C(=O)N(Cc2ccc(OC)cc2)c3ccccc13)\[N+]#[C-],87.1
TRAIN_00098,Nc1ccc(nc1)c2ccc(OC(F)(F)F)cc2,25.3
TRAIN_00099,CC1(COCc2c(F)cccc2F)CC(=NO1)c3sccc3S,49.4
TRAIN_00100,CC1(C)Oc2c(ccnc2c3ccc(cc3F)S(=O)(=O)C)C(Br)C1Br,29.1
TRAIN_00101,Clc1ccc(cc1)C2NCCc3ccc(Br)cc23,30.2
TRAIN_00102,COc1cccc(NC(=O)c2c(C)nc(C)c(C(=O)O)c2c3ccc(Cl)cc3)c1,79.3
TRAIN_00103,O=C(N1CCN(Cc2ccc3OCOc3c2)CC1)c4ccc(Nc5cc(ncn5)n6cccc6)cc4,91.4
TRAIN_00104,CCOC(OCC)c1cc2cncc(I)c2[nH]1,93.3
TRAIN_00105,CC(C)(C)OC(=O)NCCN1CCC(Cc2ccccc2)CC1,57.0
TRAIN_00106,CSc1nc(Cl)cc(OCC2CCN(CC2)C(=O)OC(C)(C)C)n1,4.35
TRAIN_00107,Cc1cc(Cl)ccc1Nc2nc(N)nc(CCl)n2,25.4
TRAIN_00108,CN(CC(=O)NC1CCCCC1)N(Cc2ccc(F)cc2)c3ccc(C)cc3,69.0
TRAIN_00109,COC(=O)c1ccc(nc1OC(C)C(=O)Nc2ccccc2)C(F)(F)F,0.0147
TRAIN_00110,OC(=O)c1ccc(nc1OCCn2cncn2)C(F)(F)F,8.66
TRAIN_00111,CC(=O)C1=C(Nc2c(C)ccc(C)c2C1=O)S(=O)C,19.8
TRAIN_00112,Clc1ccc2CN(C3CCN(Cc4ccc(Br)cc4)CC3)C(=O)c2n1,0.0
TRAIN_00113,CCN1C(=O)NC(=O)n2c1nc(c3ccc(F)cc3)c2c4ccc(F)cc4,0.0
TRAIN_00114,COC(=O)c1cc(Cl)ccc1C2CCN(CC(=O)N3CCc4ccccc34)CC2,28.3
TRAIN_00115,CS(=O)(=O)c1ccc(NC(=O)CC#N)c(F)c1,12.4
TRAIN_00116,CC(C)(C)OC(=O)N1CCC(CC1)NS(=O)(=O)c2c(Cl)cc(cc2Cl)C(F)(F)F,47.7
TRAIN_00117,Fc1ccc(cc1OC2CCCNC2)C(=O)Nc3nnc(COc4ccc(Cl)c(Cl)c4)s3,47.7
TRAIN_00118,CC(NC(=O)c1n[nH]c2ccc(F)cc12)c3cccc4ccccc34,2.53
TRAIN_00119,CC(=O)Nc1cc2CCC(=O)c2cc1Br,6.66
TRAIN_00120,Cc1n[nH]c(C)c1Cc2ccccc2Br,22.3
TRAIN_00121,Cc1cc(C)cc(NC(=O)\C=C\C(=O)Nc2cc(C)cc(C)c2)c1,12.3
TRAIN_00122,Clc1ccccc1Sc2c(n[nH]c2C3CC3)C4CC4,37.9
TRAIN_00123,Fc1ccc(CN2CCCCC2)cc1c3cncc4cc(oc34)\C=C\5/SC(=O)NC5=O,60.0
TRAIN_00124,CN(C)CCCOc1ccc(CN2CCC(CC2)NC(=O)C3=C(C)c4ccccc4C3)cc1,7.18
TRAIN_00125,CC(C)C(NC(=O)c1c(C)n(CC(C)(C)O)c2ccc(F)cc12)C(=O)O,8.23
TRAIN_00126,CCOC(=O)c1cc2cc(O)ccc2n1c3ccc(cc3)C(=O)N4CCC4,49.7
TRAIN_00127,CSC1=Nc2ccccc2C(=O)N1c3ccccc3,9.86
TRAIN_00128,Cc1ccccc1c2nc3ccccc3cc2Cn4c5ccc(cc5c6cnc(N)nc46)C(=O)N,94.4
TRAIN_00129,OC(=O)[C@@H]1CCCN1C(=O)\C=C\c2ccc(NC(=O)Nc3ccccc3Br)cc2,43.0
TRAIN_00130,O=C(Nc1ccc(cc1)n2ccnc2)c3csc(Nc4ccccc4)n3,94.8
TRAIN_00131,COc1ccc(CNCCN2CCOCC2)c3ccccc13,55.0
TRAIN_00132,Brc1ccc(cc1)C(c2ccc[nH]2)c3ccc[nH]3,61.3
TRAIN_00133,CC(=O)C(Sc1cc(Cl)cc(Cl)c1)C(=O)C,33.7
TRAIN_00134,Cc1ccc2nc(N3CCN(CC3)C(=O)c4cc5ccccc5[nH]4)c(Cl)nc2c1,47.4
TRAIN_00135,Fc1ccc(cc1)n2nc(C(=O)Nc3ccncc3)c4CCc5ccccc5c24,97.2
TRAIN_00136,Clc1cccc2C=C(Cn3ccc4cnc(Cl)nc34)N(C(=O)c12)c5ccccc5,37.6
TRAIN_00137,Oc1ccc(NC2=NC(=O)C(S2)c3ccccc3)cc1,58.4
TRAIN_00138,COC(=O)c1c(C)n(C(=O)C)c2ccc(NS(=O)(=O)c3cccs3)cc12,42.5
TRAIN_00139,[O-][N+](=O)c1ccc2C(=CC(=O)c2c1)Br,62.7
TRAIN_00140,O=C(Nc1sccc1C#N)\C=C/C(=O)N2CCOCC2,16.3
TRAIN_00141,CSc1ncc(Br)c(Nc2cccc(CO)c2)n1,13.4
TRAIN_00142,Clc1ncnc2[nH]c3ccc(I)cc3c12,46.8
TRAIN_00143,O=C(NCCN1CCCCC1)c2cccc(Oc3ccccc3)c2,31.4
TRAIN_00144,COc1c(NC(=O)\C=N\O)cc(Br)cc1C(C)C,10.2
TRAIN_00145,Brc1ccc(Sc2c(nn(C(=O)c3cnccn3)c2C4CC4)C5CC5)cc1,39.8
TRAIN_00146,Clc1cc(NC(=O)CC(=O)Nc2ccnc(Cl)c2)ccn1,13.1
TRAIN_00147,COc1ccc2c(CCc3c2onc3C(=O)Nc4ncccn4)c1,22.9
TRAIN_00148,COc1ccc2C(=C3N(CCc4cc5OCOc5cc34)C(=O)c2c1OC)Cc6nc7ccccc7[nH]6,70.4
TRAIN_00149,Nc1ncnc2[nH]nc(I)c12,39.4
TRAIN_00150,CC(N1C(=O)Nc2c1ncnc2S(=O)(=O)C)c3cc4ccccc4nc3c5ccccc5C,32.2
TRAIN_00151,COc1ccc(CN2C(=O)Cc3c(Br)cc(C(C)C)c(OC)c23)cc1,61.4
TRAIN_00152,COC(=O)c1ccc(Oc2c(C)nn(C(=O)c3ccc(Cl)nc3)c2C)cc1,13.6
TRAIN_00153,CC(C(=O)Nc1ccc(C)cc1)C(=O)Nc2ccc(C)cc2,23.4
TRAIN_00154,Cc1cccc(NC(=O)C2ON=CC2C(=O)N3CCOCC3)c1,30.2
TRAIN_00155,Clc1cccc(n1)C(=O)NCCC(=O)Nc2nc(c(Cc3ccccc3)s2)c4ccccc4,69.1
TRAIN_00156,CC(C)(C)OC(=O)N1CCC(CC1)c2n[nH]c3nc(ncc23)S(=O)(=O)C,14.7
TRAIN_00157,CN(C)CCNC(=O)c1c(C)n(CC(=O)O)c2ccc(NS(=O)(=O)c3ccccc3F)cc12,30.7
TRAIN_00158,CCOC(=O)C(Cc1ccccc1Br)(NC(=O)C)C(=O)OCC,43.2
TRAIN_00159,OC(=O)C(Cc1ccc(F)cc1)NC(=O)c2cc(Br)c(F)n2c3ncccc3Cl,23.5
TRAIN_00160,CC(C)N1C(=O)N(c2ccc(O)c(F)c2)c3cnc4cc(F)ccc4c13,31.5
TRAIN_00161,OC(=O)C[C@@H](Cc1cc(F)c(F)cc1F)NC(=O)Nc2ccc(I)cc2,27.0
TRAIN_00162,CSc1ncc2c3cc(ccc3[nH]c2n1)N(C)CCO,48.1
TRAIN_00163,COc1ccc(CN2Cc3c(Br)ccc(N)c3C2=O)cc1,38.2
TRAIN_00164,COC(=O)c1ccc(N)c(OCc2ccc(F)c(F)c2)c1,72.6
TRAIN_00165,CCOC(=O)c1cc2cc(OCc3ccccc3)ccc2n1CC(=O)NCCN4CCCCC4,26.2
TRAIN_00166,Cc1n[nH]c(C)c1Sc2ccc(cc2)C(C)(C)C,30.4
TRAIN_00167,Cn1c(cc2ccccc12)C(=O)N3CCC(CC3)Nc4cnc5ccccc5n4,33.8
TRAIN_00168,CC(C)n1nc(c2ccc3nc(NC(=O)C)sc3c2)c4cnc(N)nc14,11.0
TRAIN_00169,COC(=O)N1CC(C)CN(c2ccc(NC(=O)Nc3cc(C)ccc3OC)cc2)S1(=O)=O,28.6
TRAIN_00170,CN(C)CCN1C(=O)c2cccc3c(Br)ccc(C1=O)c23,52.3
TRAIN_00171,COC(=O)CC1CCC(CC1)c2ccc(cc2)N3C(=O)Nc4ccc(C)cc4C3=O,17.5
TRAIN_00172,OCCCCNc1ccc2C(=O)N(CCCCO)C(=O)c3cccc1c23,0.0
TRAIN_00173,CC(C)Oc1cc(ccc1[N+](=O)[O-])N2CCN(C)N=C2,7.84
TRAIN_00174,CCOC(=O)C1C2CN(CC12)c3ccc(cn3)C(=O)NCCNC(=O)N4CCN(C)CC4,0.0
TRAIN_00175,COc1ccc(cc1)c2oc(nn2)c3ccc(cc3)N4CCC(CC4)C(=O)N[C@@H](C(C)C)C(=O)O,0.0
TRAIN_00176,CC(=O)NC(C(Oc1ccc(Cl)cc1)c2ccccc2)c3ccccc3,34.9
TRAIN_00177,CC(C)OC(=O)N1CCC(CC1)OS(=O)(=O)C,0.0
TRAIN_00178,O=C(Nc1ccccc1)Nc2cncc(c2)c3oc4c(cnc5ccccc45)c3,1.09
TRAIN_00179,CCOP(=O)(Cc1ccc(cn1)c2ccccc2OC)OCC,17.2
TRAIN_00180,OC(=O)C(NC(=O)Nc1ccc(Br)cc1)c2ccccc2,12.2
TRAIN_00181,CC(C)(C)OC(=O)NN1Cc2ccc(nc2C1=O)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4,0.0
TRAIN_00182,CC(C)(C)OC(=O)NCCC(=O)Nc1nc2cc(F)ccc2s1,9.71
TRAIN_00183,COc1cc2CNCCCc2cc1NC(=O)OC(C)(C)C,25.8
TRAIN_00184,Cl.NCCNC(=O)c1ccc(OCC(F)(F)F)nc1,0.0
TRAIN_00185,Cl.CS(=O)(=O)c1ccc(cc1)c2cc(F)c(OCC3CCNCC3)c(F)c2,0.0
TRAIN_00186,CN(C)S(=O)(=O)CCNCc1ccc(cc1)c2ccccc2,2.86
TRAIN_00187,Brc1ccc(cc1)N2C(=O)NC3(CCCC3)C2=O,23.2
TRAIN_00188,CC(C)c1onc(c1)C(=O)N2CCC(CC2)Oc3ccc(nc3)c4ccc(cc4F)S(=O)(=O)C,7.63
TRAIN_00189,Cl.C[C@@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]3CCCc4ccccc34,60.9
TRAIN_00190,CC(C)S(=O)(=O)c1ccccc1Nc2c(Cl)cnc(Cl)c2Cl,77.0
TRAIN_00191,COC(=O)CC1CCC(CC1)c2ccc(NC(=O)C(C)(C)NC(=O)c3ccccn3)cc2,8.1
TRAIN_00192,CC(C)(CO)C(O)C(=O)NCCC(=O)NCCc1ccccn1,16.9
TRAIN_00193,CS(=O)(=O)OC1CCN(CC1)S(=O)(=O)C2CC2,3.28
TRAIN_00194,CN(C)CCCC(C#N)c1cccc2ccccc12,23.6
TRAIN_00195,[O-][N+](=O)c1ccc2c(c1)c(cn2Cc3ccccc3)c4nnn[nH]4,42.4
TRAIN_00196,CCn1c2ccc(CCC(=O)O)cc2c3cc(NC(=O)Cc4ccccc4OC)ccc13,11.8
TRAIN_00197,COc1cc2CN(CCc2cc1[N+](=O)[O-])C(=O)C(F)(F)F,3.73
TRAIN_00198,Cl.C[C@@H](NC(=O)C1CCCN1C(=O)C2CCCN2)C(=O)NC(c3ccccc3)c4ccccc4,40.5
TRAIN_00199,CCOC(=O)c1cn(cc1C(=O)OCC)c2nc(Cl)ncc2Cl,11.7
TRAIN_00200,CC(C)OC(=O)N1CCC(CNc2ncnc3c(csc23)c4ccc(cc4)S(=O)(=O)C)CC1,0.0
TRAIN_00201,Cc1cc(nn1c2cc(Cl)ccc2Cl)C(=O)Nc3ccc(F)cc3,31.6
TRAIN_00202,CCOC(=O)\C=C\c1ccc(NC(=S)NC(C(=O)OCC)c2ccccc2)cc1,26.1
TRAIN_00203,COc1ccc(cc1)C2(CNC(=O)C(F)(F)F)CCCCC2,61.4
TRAIN_00204,Brc1ccc(cc1)S(=O)(=O)c2ccccc2,2.68
TRAIN_00205,Fc1cccc(c1)S(=O)(=O)N2CCSC2C(=O)N3CCC(CC3)c4ccccc4,75.0
TRAIN_00206,OCC1CCN(CC1)c2ncc(Br)cn2,0.0
TRAIN_00207,Cc1ccc(cc1C)c2c([C@H](OC(C)(C)C)C(=O)O)c(C)nc3c2c(C)c(C)n3CCC4CCO4,19.4
TRAIN_00208,CCOC(=O)C(C)(C)Cc1onc(n1)c2ccc(OCc3ccc(OC)cc3)cn2,14.2
TRAIN_00209,COc1cc2CCN(Cc2cc1OC)C(=O)NCCc3ccc(C)c(C)c3,59.5
TRAIN_00210,CCOC(=O)C1CCC(CC1)Oc2ccc(cc2)C(=O)NN3CC(=O)N(Cc4ccc(C)cc4)C3=O,78.5
TRAIN_00211,CCCC1CCc2c(C1)sc(NC(=O)c3ccccc3)c2C(=O)O,28.7
TRAIN_00212,Cc1cc(ccc1c2n[nH]c3ncnc(N)c23)S(=O)(=O)c4ccccc4,6.07
TRAIN_00213,CC(C)(C)OC(=O)N1CCSC1C(=O)N2CCC(COc3ccc(cc3)S(=O)(=O)C)CC2,41.8
TRAIN_00214,CC(C)(C)OC(=O)N1CCCC(C1)OC(=O)c2cccc(c2)c3ccc(cc3F)S(=O)(=O)C,32.4
TRAIN_00215,CS(=O)(=O)OCC1CCN(CC1)C(=O)c2cc(on2)C3CC3,0.648
TRAIN_00216,CCOC(OCC)c1oc2c(cncc2c1)c3cccc(c3)C(=O)OCC,71.5
TRAIN_00217,Oc1c2Cc3ccccc3c2nc4c(cnn14)C(=O)NC5CCCCC5,39.9
TRAIN_00218,Clc1ccc(cc1)C(=O)CN2CCN(CC2)C(=O)OCc3ccccc3,48.0
