"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1645019";"";"None";"398.47";"0";"2.85";"26";"COc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1C#Cc1ccccn1";"Inhibition";"'='";"37.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1646001";"Inhibition of CYP3A4 at 3 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641557";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"37.0"
"CHEMBL1645022";"";"None";"404.50";"0";"2.91";"29";"COc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1C#Cc1nccs1";"Inhibition";"'='";"52.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1646001";"Inhibition of CYP3A4 at 3 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641557";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"52.0"
"CHEMBL1645013";"";"None";"398.47";"0";"2.85";"20";"COc1ccc(C(=O)N2CCN(c3cnccn3)CC2)cc1C#Cc1ccccc1";"Inhibition";"'='";"62.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1646001";"Inhibition of CYP3A4 at 3 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641557";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"62.0"
"CHEMBL1800667";"";"None";"712.80";"1";"4.21";"6g";"CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)CCN(C)S(C)(=O)=O)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1";"Inhibition";"'='";"17.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1804377";"Inhibition of human CYP3A4 assessed as conversion of testosterone to 6beta-hydroxytestosterone at 10 uM after 30 mins by HPLC analysis";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1799984";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"17.0"
"CHEMBL1800665";"";"None";"672.72";"2";"4.61";"6e";"CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)CCn2ccnn2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1";"Inhibition";"'='";"54.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1804377";"Inhibition of human CYP3A4 assessed as conversion of testosterone to 6beta-hydroxytestosterone at 10 uM after 30 mins by HPLC analysis";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1799984";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"54.0"
"CHEMBL2448706";"";"None";"392.34";"0";"4.61";"DNDI1977172";"CN(CC(O)COc1ccc2cc(Br)ccc2c1)C1CCCCC1";"Inhibition";"'='";"11.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2448774";"DNDI: Human CYP3A4 inhibition at 10 uM determined using 6b-hydroxylation of testosterone";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2448688";"14";"Drugs for Neglected Diseases Initiative (DNDi)";"";"";"None";"";"";"";"11.0"
"CHEMBL3263268";"";"None";"469.50";"0";"2.32";"2n";"CO[C@@H]1COCC[C@@H]1N[C@@H]1C[C@H]2OCC[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3268531";"Inhibition of CYP3A4 (unknown origin) at 10 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259669";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";""
"CHEMBL1785059";"";"None";"369.49";"0";"2.63";"6i";"CN1CCN(Cc2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)CC1";"Inhibition";"'='";"5.47";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1785495";"Inhibition of human CYP3A4 at 10 uM";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1781973";"1";"Scientific Literature";"ACS Med Chem Lett";"2010";"None";"";"";"";"5.47"
"CHEMBL2024079";"";"None";"432.30";"0";"3.66";"10";"C[C@@H](C(=O)Nc1nc(C(F)(F)F)co1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1";"Inhibition";"'='";"82.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2026798";"Inhibition of CYP3A4 using BFC as substrate at 10 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2021812";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"82.0"
"CHEMBL2024078";"";"None";"365.29";"0";"2.04";"8";"C[C@@H](C(=O)Nc1nnco1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1";"Inhibition";"";"";"%";"";"";"Not Determined";"UO_0000187";"";"";"";"";"0";"CHEMBL2026798";"Inhibition of CYP3A4 using BFC as substrate at 10 uM";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL340";"Cytochrome P450 3A4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2021812";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";""
