Canonical_Smiles,Inhibition
Cl.OC1(Cc2cccc(Br)c2)CCNCC1,12.5
Brc1ccc2OCCc3ccnc1c23,4.45
CC1(CO)CC(=NO1)c2cc(c(F)cc2Cl)[N+](=O)[O-],4.92
Fc1ccc2nc(Nc3cccc(COc4cccc(c4)C(=O)N5CCOCC5)c3)[nH]c2c1,71.5
CC(C)CC(=O)C1=C(Nc2c(Cl)ccc(Cl)c2C1=O)S(=O)C,18.3
O\C(=C\1/OCCN(Cc2ccccc2)C1=O)\C3CCOCC3,1.28
CS(=O)(=O)OCC(COCc1c(F)cccc1F)OS(=O)(=O)C,8.18
[O-][N+](=O)c1cn2C[C@@H](COc2n1)OC3CCCCO3,13.2
Cc1cc(nc(Nc2ccc(C#N)c(c2)C(F)(F)F)n1)N3CCC(CC3)C(=O)NC(C)(C)C,64.9
COC(=O)c1c(C)nc2N(C)CCc2c1OS(=O)(=O)C(F)(F)F,53.5
FC(F)(F)C(F)(F)COCc1cc(N\N=C/2\N=C(OC2=O)c3ccccc3)ccc1Cl,91.8
Fc1ccc2[nH]c(Nc3ncccc3OCc4cccc(c4)C#N)nc2c1,71.0
COC(=O)c1cc2cc(F)ccc2n1CC(=C)Cl,21.4
CCc1cccc2C(=O)C(=C(NCCc3ccc(OC)c(OC)c3)Nc12)C(=O)C,85.4
COc1ccc(cc1)[C@H](O)[C@H]2OCCN(Cc3ccccc3)C2=O,13.3
Cc1nc(C)c(C(=O)NCc2ccccc2)c(c3ccc(Cl)cc3)c1C(=O)O,16.2
CCCNC(=O)[C@@H]1CCCN1C(=S)Nc2ccccc2,8.62
COc1ccc(CN2Cc3c(Cl)ccnc3C2=O)cc1OC,9.89
CC(C)(C)OC(=O)N1CCC(CC1)c2nc(COc3ccc(cc3)n4cnnn4)cs2,31.2
CSC1=C(C(=O)C)C(=O)c2cc(F)c(F)cc2N1,15.0
CC(=C)COC(=O)C1OC(C)(C)OC1C(=O)OCC(=C)C,26.1
OC(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1O,6.4
CCOC(=O)C1CCN(CC1)c2nc(ncc2OC)c3ccc(cc3)S(=O)(=O)C,7.98
COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2C(=O)N(Cc3ccc(OC)cc3)CCc2c1Cl,2.99
COc1ccc(cc1)C2(ON(C)C(=N2)N)C3(COc4cc(F)cc(F)c4)CCCCC3,90.5
CC(C)CNC1=C(C(=O)C)C(=O)c2c(Cl)c(Cl)c(Cl)cc2N1,40.2
COC(=O)C(=C(C)\N=C\1/CCCN1C)C(=O)OC,0.0
COc1ccc(cc1)c2cc3c(NC(C)c4ccccc4)ncnc3[nH]2,36.2
OCCc1cc(Cl)nc2c(Br)ccc(O)c12,60.8
Cc1ccc(C)c(NC(=O)CC(=O)Nc2nccs2)c1,14.4
CN1N(C(F)F)C(=CC1=O)c2cc(C)c(Cl)cc2F,72.4
CC(=O)C1=C(NN2CCOCC2)Nc3c(Cl)cc(cc3C1=O)[N+](=O)[O-],27.0
CCc1cccc2C(=O)C(=C(NC3CCCCC3C)Nc12)C(=O)C,57.4
CCCOC(=O)[C@@H]1[C@H](C)N1C(=O)OCc2ccccc2,7.92
COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C(=O)OC)c(C)c1c2ccc(N)cc2,88.8
CCOC(=O)Cc1cc(Cl)nc2c(Br)ccc(OC)c12,4.21
CCOC(=O)c1cc(C(=O)OCC)n(CCCC#N)c1,0.0
CCOC(=O)c1c(C)nc2C(=O)N(CC3CCCCC3)C(C)(C)c2c1c4ccc(Cl)cc4,60.9
SC1=C(C(=O)c2ccccc2)C(=O)c3ccccc3N1,61.6
Cl.C=CC(=O)N1CC[C@H](C1)Nc2nc(nc3[nH]ncc23)c4ccc(Oc5ccccc5)cc4,42.1
CCOC(=O)C(F)Cc1cc(N)c(F)cc1Cl,33.6
COc1ccc(Br)c2NC(=O)C=C(CCO)c12,0.0
COC(=O)CCc1cc(C)c(c(C)c1)c2nc3cc(NC(=O)N4CCOCC4)ccc3[nH]2,25.3
CCOC(=O)\C(=C(\O)/C(F)(F)F)\N(CC)CC,6.76
COC(=O)c1oc2ccccc2c1OCCCCl,39.0
O=S(=O)(\C=C/1\CCCC2OC12)c3ccccc3,12.5
CCOc1ccccc1O[C@H]([C@@H]2CNCCO2)c3ccccc3,31.0
COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2c(c1Cl)c3CCCCc3n2C,0.0
CC(C)c1noc(CCCNc2nc(C)cc(Cl)n2)n1,0.0
CC(=O)Nc1nc(cn1C2CN(Cc3cccc(c3)C(F)(F)F)C[C@@H]2O)c4ccccc4,71.7
CCOC(=O)C1=C2SCCN2c3cc4OCOc4cc3C1=O,14.2
CCCC(=O)C1=C(c2cc(Cl)cc(c2OC1=O)C(F)(F)F)S(=O)C,21.3
Clc1ncc(Br)cc1c2nnc3ccc(NCc4ccccc4)nn23,32.6
C\C(=N/N(Cc1c(F)cccc1F)c2ccc(C)cc2)\C(=O)NC(C)(C)C,45.7
COc1ccc(C)c(NC2=C(C(=O)C)C(=O)c3c(OC)ccc(C)c3N2)c1,54.0
CC(C)(C)OC(=O)Nc1ccncc1I,63.7
CN[C@@H](CCOc1cccc2ccccc12)c3ccccc3,11.6
Cc1ccc(Nc2nc(N)nc(CN3CCN(CC3)c4ccccc4)n2)c(C)c1,43.6
CN(C(CN1CCCC1)c2ccc(cc2)c3cccc(c3)C(=O)N)C(=O)CN4CCc5ccccc45,45.9
COc1cc(Br)c(cc1OC)S(=O)(=O)Nc2ccc(OCCN(C)C)nc2,18.8
C=CCCCS(=O)(=O)c1nnnn1c2ccccc2,50.2
Cc1ccc(cc1)N(Cc2ccccc2)\N=C\C(=O)NN3CCCCC3,16.5
Cc1onc(COCc2c(Cl)c(ccc2S(=O)(=O)C)C(=O)O)n1,1.18
Clc1ccc2N=C(OC(=O)c2c1)c3ccccc3,5.96
CCOC(=O)c1c(C)nc2c(ccn2Cc3cccc(F)c3F)c1O,17.4
COC(=O)c1ccc(NC(=O)OC(C)(C)C)c(O)c1,0.0
OC(=O)c1cccc(c1)c2ccc(cc2)N(CCN3CCOCC3)C(=O)Nc4ccc(Cl)cc4,29.5
COc1cc(Br)c(cc1OC)S(=O)(=O)N[C@@H]2CCCN(C2)C(=O)c3ccccc3,75.8
CN(c1ccc(cc1F)S(=O)(=O)C)c2ncnc3c(Br)csc23,30.0
CC(C)(C)OC(=O)n1ccc2c(Cl)nc(Cl)nc12,11.4
Cc1cc(nc(OCCCC#N)c1C(=O)C2C(=O)C3CCC(C3)C2=O)C(F)(F)F,0.0
CSC1=C(C(=O)C)C(=O)c2c(N1)c(ccc2C(F)(F)F)C(F)(F)F,48.2
COc1cc(OC)cc(c1)N(Cc2c(F)cccc2Cl)C(=O)Cc3ccncc3,88.0
Nc1oc(c2ccc(Cl)cc2)c(n1)c3ccc(Cl)cc3,95.6
O=C(NCCN1CCC(C1)(c2ccccc2)c3ccccc3)Nc4ccnc5ccsc45,88.1
CN(C1CCN(CC1)C(=O)OC(C)(C)C)c2nccc3c(Br)csc23,40.1
Nc1cccc(Nc2nc(Cl)nc3[nH]ccc23)c1,77.1
CCCCOc1nc(N)c2NC(=O)CN(Cc3cccc(CN4CCCC4)c3)c2n1,29.2
Cc1ccc(cc1)S(=O)(=O)CC(=O)c2ccc(Cl)cc2,60.6
CCOC(OCC)C#Cc1cncc(I)c1N,71.2
COC(=O)c1c(CS(=O)(=O)c2ccccc2)n(c3ccccc13)S(=O)(=O)c4ccccc4,63.9
COc1cc2c(oc3ccccc23)cc1NC(=O)C(=C(SC)SC)C(=O)C,50.4
Cl.CN(C1CCNCC1)S(=O)(=O)c2ccc(Cl)s2,36.7
CC(C)c1ccc(C)cc1OCc2nnc(NC(=O)Nc3ccc(C)cc3)s2,26.9
COc1cc(NCc2c(F)cccc2Cl)cc(OC)c1,62.9
[O-][N+](=O)c1c(NC(=O)c2cnccn2)cc(cc1C(F)(F)F)C(F)(F)F,0.0
CC(=O)C(=C1SCCCS1)C(=O)Nc2ccccc2,25.0
Clc1ccc(cc1Cl)c2nnc(NC(=O)Cc3ccccc3)s2,33.8
Cc1cc2ncccc2c(Br)c1OS(=O)(=O)C(F)(F)F,2.83
OC([C@@H]1C2CC(C=C2)[C@@H]1NC(=O)OCc3ccccc3)(c4ccccc4)c5ccccc5,94.0
CC(C)c1noc(n1)C2CCN(CC2)c3nc(Cl)ncc3C(F)(F)F,0.0
CC(NC(=O)c1ccc(Cl)c(Cl)c1)C(=O)Nc2ccc(OC3CCNCC3)c(Cl)c2,68.6
Cl.CCCN(C1CCNCC1)S(=O)(=O)c2ccc(F)cc2,17.2
CC(C)(C)OC(=O)N1CCO[C@H](Cn2nnc3ncc(Br)nc23)C1,14.9
CN(Cc1ccc(F)cc1)Cc2ccc(cc2)[N+](=O)[O-],0.0
Cc1cnc(cn1)C(=O)Nc2cc(Cl)c(Cl)c(Cl)c2,0.0
CCC(=O)CC(=O)Nc1cccc(Cl)c1Cl,24.7
CCOC(=O)\C(=C\1/C(=O)N(Cc2ccc(OC)cc2)c3ccccc13)\[N+]#[C-],87.1
Nc1ccc(nc1)c2ccc(OC(F)(F)F)cc2,25.3
CC1(COCc2c(F)cccc2F)CC(=NO1)c3sccc3S,49.4
CC1(C)Oc2c(ccnc2c3ccc(cc3F)S(=O)(=O)C)C(Br)C1Br,29.1
Clc1ccc(cc1)C2NCCc3ccc(Br)cc23,30.2
COc1cccc(NC(=O)c2c(C)nc(C)c(C(=O)O)c2c3ccc(Cl)cc3)c1,79.3
O=C(N1CCN(Cc2ccc3OCOc3c2)CC1)c4ccc(Nc5cc(ncn5)n6cccc6)cc4,91.4
CCOC(OCC)c1cc2cncc(I)c2[nH]1,93.3
CC(C)(C)OC(=O)NCCN1CCC(Cc2ccccc2)CC1,57.0
CSc1nc(Cl)cc(OCC2CCN(CC2)C(=O)OC(C)(C)C)n1,4.35
Cc1cc(Cl)ccc1Nc2nc(N)nc(CCl)n2,25.4
CN(CC(=O)NC1CCCCC1)N(Cc2ccc(F)cc2)c3ccc(C)cc3,69.0
COC(=O)c1ccc(nc1OC(C)C(=O)Nc2ccccc2)C(F)(F)F,0.0147
OC(=O)c1ccc(nc1OCCn2cncn2)C(F)(F)F,8.66
CC(=O)C1=C(Nc2c(C)ccc(C)c2C1=O)S(=O)C,19.8
Clc1ccc2CN(C3CCN(Cc4ccc(Br)cc4)CC3)C(=O)c2n1,0.0
CCN1C(=O)NC(=O)n2c1nc(c3ccc(F)cc3)c2c4ccc(F)cc4,0.0
COC(=O)c1cc(Cl)ccc1C2CCN(CC(=O)N3CCc4ccccc34)CC2,28.3
CS(=O)(=O)c1ccc(NC(=O)CC#N)c(F)c1,12.4
CC(C)(C)OC(=O)N1CCC(CC1)NS(=O)(=O)c2c(Cl)cc(cc2Cl)C(F)(F)F,47.7
Fc1ccc(cc1OC2CCCNC2)C(=O)Nc3nnc(COc4ccc(Cl)c(Cl)c4)s3,47.7
CC(NC(=O)c1n[nH]c2ccc(F)cc12)c3cccc4ccccc34,2.53
CC(=O)Nc1cc2CCC(=O)c2cc1Br,6.66
Cc1n[nH]c(C)c1Cc2ccccc2Br,22.3
Cc1cc(C)cc(NC(=O)\C=C\C(=O)Nc2cc(C)cc(C)c2)c1,12.3
Clc1ccccc1Sc2c(n[nH]c2C3CC3)C4CC4,37.9
Fc1ccc(CN2CCCCC2)cc1c3cncc4cc(oc34)\C=C\5/SC(=O)NC5=O,60.0
CN(C)CCCOc1ccc(CN2CCC(CC2)NC(=O)C3=C(C)c4ccccc4C3)cc1,7.18
CC(C)C(NC(=O)c1c(C)n(CC(C)(C)O)c2ccc(F)cc12)C(=O)O,8.23
CCOC(=O)c1cc2cc(O)ccc2n1c3ccc(cc3)C(=O)N4CCC4,49.7
