Canonical_Smiles,Inhibition 1,Inhibition 2,Inhibition 3
CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21,11.3919,4.2455,16.7103
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)COc2ccc(OC)cc2)[C@@H]1OC,73.8999,70.7295,66.6895
C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,2.3957,1.0278,3.6433
C/C(=C(\CCO)SS/C(CCO)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,29.9765,21.4797,29.1646
CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,87.9841,89.4623,89.0836
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,81.244,79.4617,82.8891
C[C@H](N)C(=O)c1ccccc1.Cl,5.2548,5.3843,8.897
CC[C@H](O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl,55.7367,57.862,69.9323
C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,74.0427,68.7629,69.831
CCC(OC(C)=O)C(C[C@H](C)NC)(c1ccccc1)c1ccccc1.Cl,95.8043,96.4427,91.4331
CCC(=O)N(c1ccccc1)[C@H]1CCN(CCc2ccccc2)C[C@H]1C.Cl,30.6736,40.6494,32.3244
CCc1cc(OC)c(C[C@H](C)N)cc1OC.Cl,12.7712,2.4158,10.985
CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1.Cl,22.4117,17.8869,15.7154
CCC(=O)N(c1ccccc1)[C@H]1CCN(CCc2cccs2)C[C@H]1C.Cl,38.7229,41.7791,45.3672
CC(Cc1ccc2c(c1)OCO2)NO.Cl,71.3724,53.632,73.2788
CC(CC(C#N)(c1ccccc1)c1ccccc1)N(C)C,33.2187,29.6953,17.3645
C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O,10.4241,7.1701,10.6797
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,2.9712,21.6777,1.8416
COc1cc(CC(C)N)c(OC)cc1Br.Cl,1.4937,32.7662,10.1654
