,Canonical_Smiles,Inhibition
0,CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21,14.0511
1,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)COc2ccc(OC)cc2)[C@@H]1OC,72.3147
2,C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,3.0195
3,C/C(=C(\CCO)SS/C(CCO)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,29.57055
4,CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,89.27295000000001
5,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,82.06655
6,C[C@H](N)C(=O)c1ccccc1.Cl,5.31955
7,CC[C@H](O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl,56.799350000000004
8,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,69.29695000000001
9,CCC(OC(C)=O)C(C[C@H](C)NC)(c1ccccc1)c1ccccc1.Cl,96.1235
10,CCC(=O)N(c1ccccc1)[C@H]1CCN(CCc2ccccc2)C[C@H]1C.Cl,31.499
11,CCc1cc(OC)c(C[C@H](C)N)cc1OC.Cl,11.8781
12,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1.Cl,16.80115
13,CCC(=O)N(c1ccccc1)[C@H]1CCN(CCc2cccs2)C[C@H]1C.Cl,40.251000000000005
14,CC(Cc1ccc2c(c1)OCO2)NO.Cl,72.32560000000001
15,CC(CC(C#N)(c1ccccc1)c1ccccc1)N(C)C,31.457
16,C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O,10.5519
17,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,2.4064
18,COc1cc(CC(C)N)c(OC)cc1Br.Cl,5.82955
19,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1.Cl,83.07475
20,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,71.6172
21,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl,41.5903
22,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C.Cl,84.809
23,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13.Cl,10.959399999999999
24,CO[C@]12CC[C@@]3(C[C@@H]1C(C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5.Cl,53.1947
25,CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,0.9420999999999999
26,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,3.1541
27,CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1.Cl,75.98245
28,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C)CS[C@H]12)c1csc(N)n1.Cl,62.7158
29,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1.Cl,54.65225
30,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,8.174949999999999
31,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)OCCO)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,37.7715
32,COP(=S)(OC)Oc1ccc(S(N)(=O)=O)cc1,12.06955
33,CC1CC(=O)NN=C1c1ccc(NCC(C)(C)NCC(O)COc2cc(Cl)ccc2C#N)cc1,27.02
34,Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,3.38155
35,CCOC(=O)c1ncn2c1CN(C)C(=O)c1c(I)cccc1-2,0.40270000000000006
36,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,89.48795000000001
37,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,72.2812
38,C[N+]1(CC2COC(c3ccccc3)(c3ccccc3)O2)CCCCC1.[I-],6.6185
39,CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1.Cl,82.2641
40,O=C(N[C@@H]1N=C(c2ccccc2F)c2cccc3c2N(CC3)C1=O)c1cc2ccccc2[nH]1,6.3668
41,CCc1cc(S(=O)(=O)[O-])c2cc(C(C)C)cccc1-2.[Na+],11.0327
42,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1,68.5607
43,CCOC(=O)OCC/C(SC(=O)OCC)=C(\C)N(C=O)Cc1cnc(C)nc1N.Cl,71.50645
