Canonical_Smiles,Inhibition
Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,11.5848
N#CC1(Nc2ccc(-c3ccc(NC4(C#N)CCCC4)cc3)cc2)CCCC1,20.898
COc1ccc(-c2nc3cnc(OC)nc3n(Cc3ccc(F)cc3)c2=O)cc1,100.0
COc1ccc(Oc2ncc3nc(-c4ccc(OC)cc4)c(=O)n(Cc4cccs4)c3n2)cc1,32.7135
S=C=S,5.41
c1ccc2nc(C3=NCCN3)ccc2c1,20.9396
C[C@H](OP(=O)(O)O)[C@H](N)C(=O)O,9.7879
OCC1O[C@@H](OC2C(O)C(CO)O[C@@]2(CO)O[C@@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,11.084
Cc1cnc(CNc2cc(-c3ccc(N(C)C)cc3)ncn2)cn1,40.4391
C[C@@H](C(=O)N[C@@H](CO)Cc1ccccc1)[C@@H]1C[C@@]1(C)[C@@H](NC(=O)OCc1ccccc1)c1ccccc1,86.5544
COC(=O)NC(c1cccc(F)c1)[C@]1(C(C)=O)CCCC1=O,13.8758
NS(=O)(=O)c1ccc(NC2(C(=O)O)CCCC2)cc1,8.0884
Cn1c(=O)cnc2cnc(OCc3ccccc3)nc21,2.4425
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,14.2014
O=C(O)c1cc2ccccc2[nH]1,4.4045
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,6.2418
CCN1CCc2nc(N)oc2CC1,28.8862
C=C1CCC2[C@](C)(CO)C(O)CC[C@]2(C)C1C/C=C1/C(=O)OCC1O,19.1351
COc1ccc(CNC(=O)[C@H](C)[C@@H]2C[C@@]2(C)[C@@H](NC(=O)OCc2ccccc2)c2ccccc2)cc1OC,100.0
CCNc1ncc2nc(C)c(=O)n(Cc3ccc(F)cc3)c2n1,37.7317
COC(=O)NC(/C(C(=O)OC)=C(\C)NCc1ccccc1)c1ccco1,20.3252
CN(C)Cc1ccccc1-c1ccc2ncnc(NC3CC3)c2c1,32.3348
