,Canonical_Smiles,Inhibition
3,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)CCN(C)S(C)(=O)=O)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,17.0
4,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)CCn2ccnn2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,54.0
5,CN(CC(O)COc1ccc2cc(Br)ccc2c1)C1CCCCC1,11.0
7,CN1CCN(Cc2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)CC1,5.47
8,C[C@@H](C(=O)Nc1nc(C(F)(F)F)co1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,82.0
10,C[C@@H](C(=O)Nc1nncs1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,66.0
12,CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,21.2
16,O=S(=O)(Nc1cccc(CCc2ccccn2)c1)c1cc(Cl)ccc1Cl,82.0
17,CN(C)CC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,19.0
18,CC(C)N1CC=C(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(O)c3)cc2)CC1.Cl,41.9
20,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(F)ccc1OC,62.0
21,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,94.0
23,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccc1OC(F)(F)F,68.0
24,CCN(CC)CCCC(C)Nc1ccnc2cc(OC(F)(F)F)ccc12,100.0
26,Cc1ccc(N(CCO)C(=O)Nc2ccc(-c3ncnc4[nH]cc(C)c34)cc2)cc1,5.0
33,O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(c2cnc3n2CCCC3)CC1,42.0
34,Cc1ncc2n1C(=O)N(C1CCN(C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC1)C2,23.0
36,O=C(N[C@@H](Cc1c[nH]c2ccc(OCc3ccccc3)cc12)C(=O)Nc1ccncc1)C1CCCCC1,99.0
43,Cl.N[C@@H](CC(=O)N1CCCN(C(=O)c2ccc(C(=O)O)nc2)CC1)Cc1cc(F)c(F)cc1F,55.5
44,Cl.N[C@@H](CC(=O)N1CCCN(C(=O)c2ccc(C(=O)O)o2)CC1)Cc1cc(F)c(F)cc1F,100.0
46,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cn2ccc(C(F)(F)F)n2)cc1,33.0
47,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccccc1)=N[C@H]2CC(N)=O,1.0
48,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,20.0
52,CP(C)(=O)c1ccccc1Nc1nc(Nc2ccc(C(=O)NC3CCOCC3)cc2)ncc1Cl,3.7
53,O=C(Nc1cnn(-c2cccc(C(=O)Nc3cnn(C4CCNC4)c3)c2)c1)Nc1ccccc1Cl,70.0
60,CN([C@@H]1CCc2c(CC(=O)O)c3cccc(F)c3n2C1)S(=O)(=O)c1ccc(F)cc1,12.0
70,Cc1ccccc1N1CC(C)(C)N([C@H]2CNC[C@@H](C(=O)N[C@H](CC(C)C)c3ccc(F)cn3)C2)CC1=O.O=C(O)/C=C/C(=O)O,30.0
72,CNc1nc(Cc2ccccc2)nc2c1CCNC[C@@H]2C,11.0
75,O=C(CO)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,17.0
76,O=C(CNCCCO)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,33.0
80,O=C(Nc1ccc(F)c(C(F)(F)F)c1)c1cc2nc(Nc3c(F)cccc3Cl)[nH]c2c2c1OCCO2,19.63
83,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,93.9
84,Cc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)cn1,64.0
91,c1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,18.5
92,Cc1cc(-c2nc(-c3ccncc3)n[nH]2)ccn1,24.7
94,N#Cc1cc(-c2n[nH]c(-c3ccnc(Cl)c3)n2)ccn1,3.6
98,O=C([O-])C1CN(Cc2ccc(-n3cc(-c4ccc(Br)cc4)nn3)cc2)C1.[Na+],96.1
101,COC(=O)C1CN(Cc2ccc(-n3cc(-c4ccc(OC(C)C)c(C#N)c4)nn3)cc2)C1,62.0
110,COc1cccc(CNC(=O)c2[nH]c3cc(-c4cn[nH]c4)ccc3c2CN2CCOCC2)c1,86.0
117,Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1,89.0
118,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1O,33.6
120,Cc1[nH]n(-c2nccs2)c(=O)c1-c1ccccc1,21.0
121,N#Cc1ccc2c(c1)CCc1nn(-c3ccccn3)c(O)c1-2,28.0
125,COc1cccc(CN(C)C(=O)c2cc3ccc(-c4cn[nH]c4)cc3[nH]2)c1,2.0
126,COc1cccc(CN(CCCN(C)C)C(=O)c2cn(C)c3cc(-c4cn[nH]c4)ccc23)c1,31.0
128,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cn2ccnc2)cc1,82.0
133,C[C@@H](C(=O)Nc1ncco1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,44.0
136,Cc1nc(NC(=O)c2cc(CNC(=O)C(C)C)cnc2C(F)F)[nH]c1-c1ccc(C(F)(F)F)cc1,0.0
137,CCC(O)(CC)CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,21.0
139,O=c1[nH]c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc12,3.8
145,CNCc1cn(S(=O)(=O)c2cccc(OC)n2)c(-c2cccnc2F)c1F,55.8
146,CNCc1cn(S(=O)(=O)c2ccc(OC)cn2)c(-c2cccnc2F)c1F,7.7
148,O=C(NC1CCCCCC1)c1cc2c(Cl)cc(Cl)cc2[nH]1,1.0
149,Clc1ccc(SCc2nc(-c3ccncc3)n[nH]2)cc1,100.0
150,NS(=O)(=O)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,25.0
152,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCC5COCCO5)cc4c(=O)c3c2)cn1,0.0
153,Cc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCNCC3)cc2)cc1.Cl.Cl,59.9
155,O=C(Cc1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1)NCc1ccccc1,92.0
156,O=C(NCc1ccccc1)c1cccc(NCc2cc(-c3ccncc3)c[nH]2)c1,100.0
157,c1ccc(CSc2cccc(NCc3nc(-c4ccncc4)n[nH]3)c2)cc1,100.0
158,O=C(NCc1ccccc1)Nc1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,92.0
159,Cc1cnccc1-c1n[nH]c(CNc2cccc(C(=O)NCc3ccccc3)c2)n1,88.0
160,COc1ccc(CNC(=O)c2cccc(NCc3nnc(-c4ccncc4)[nH]3)c2)cc1,91.0
161,COc1cccc(CNC(=O)c2cccc(NCc3nnc(-c4ccncc4)[nH]3)c2)c1,95.0
164,CC1(C)Oc2cc(-c3cccc(OC(F)(F)F)c3)ccc2-c2[nH]c(-c3c(F)cccc3Cl)nc21,8.4
167,NC(=S)N/N=C/c1cccc(-c2ccc3c(c2)OCO3)c1,69.66
169,CN(C)c1ccc(/C=N/N=C(/N)S)c2ccccc12,22.75
172,CS(=O)(=O)N1CCC(C(O)(c2cncnc2Nc2ccc(F)cc2)C(F)(F)F)CC1,4.1
173,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,71.2
184,COc1cc2c(cn1)OCC21C(=O)N(C[C@H]2CCCO2)c2ccccc21,14.0
185,COc1cc2c(cc1OC)C1(CO2)C(=O)N(Cc2ccc(Cl)s2)c2ccccc21,75.0
186,COc1cc2c(cc1F)C1(CO2)C(=O)N(Cc2ccc(C(F)(F)F)o2)c2ccccc21,69.0
187,COc1ccc2c(c1)OCC21C(=O)N(CC2CCCCO2)c2ccccc21,35.0
196,COc1c(OCCCCN2CCOCC2)cc2oc3cc(OCCCCN4CCOCC4)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,32.0
197,CC1=C(C(=O)OC(C)C)C(c2ccco2)NC(=S)N1,13.0
198,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,76.0
204,N#Cc1ccc(-c2ccc(C[C@@H](C#N)NC(=O)[C@@H]3C[C@@H]4CCC[C@@H]4N3)cc2)cc1,33.8
205,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,92.3
206,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,83.9
209,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1,8.0
210,N#Cc1cccc(-c2ccc(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)c1,57.0
211,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(F)c2)cc1F,73.0
212,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)C1CCCCC1,75.0
213,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCOCC2)cc1F,94.0
214,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(/C=C/c2ccc(Cl)cc2)cc1F,33.0
215,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccccc1F,98.0
216,O=C(CCCc1ccc(F)cc1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1,86.0
217,COc1ccc(CCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)cc1,99.0
218,Cc1noc(C)c1NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1,22.0
221,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(Nc2ccccc2)cc1F,79.0
222,Nc1ccc(-c2ccc(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)cc1,90.0
223,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc2cc(F)ccc2c1,65.0
226,CO/N=C(\C)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)cn2)c1,55.0
229,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,28.0
231,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cc2nccs2)cc1,70.0
234,Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(F)c2)c1,40.0
