Canonical_Smiles,Inhibition
Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1,44.8
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccccc2)cc1F,95.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(F)cc2)cc1F,96.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,94.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,96.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@H]2CNCC[C@@H]2c2ccc(F)c(F)c2)cc1F,90.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@H]2CNCC[C@@H]2c2ccc(Cl)c(F)c2)cc1F,96.0
Cc1ccc([C@H]2CCNC[C@@H]2COc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)cc1,95.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OCC2(F)CNCCC2c2ccc(F)cc2)cc1F,94.0
O=C1C[C@@H](c2ccc(F)cc2)[C@H](COc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)CN1,95.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CCNC[C@H]2c2ccc(F)cc2)cc1F,89.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CNC[C@H]2c2ccc(Cl)cc2)cc1F,93.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CCCC[C@H]2c2ccc(Cl)cc2)cc1F,99.0
CC(C)(C)OC(=O)N1CC[C@@H](c2ccc(Cl)cc2)[C@H](COc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1,98.0
CN1CC[C@@H](c2ccc(Cl)cc2)[C@H](COc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1,97.0
CN1CC[C@@H](c2ccc(Cl)cc2)[C@H](COc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1,96.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CN(CCF)CC[C@H]2c2ccc(Cl)cc2)cc1F,98.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CN(CC(F)F)CC[C@H]2c2ccc(Cl)cc2)cc1F,98.0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@@H]2CN(CC(F)(F)F)CC[C@H]2c2ccc(Cl)cc2)cc1F,97.0
Cc1nsc(NS(=O)(=O)c2cc(F)c(OC[C@@H]3CNCC[C@H]3c3ccc(Cl)cc3)cc2F)n1,61.0
O=S(=O)(Nc1nncs1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,30.0
Cc1cnc(NS(=O)(=O)c2cc(F)c(OC[C@@H]3CNCC[C@H]3c3ccc(Cl)cc3)cc2F)s1,22.0
O=S(=O)(Nc1ncc(Cl)s1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,11.0
Cc1cc(NS(=O)(=O)c2cc(F)c(OC[C@@H]3CNCC[C@H]3c3ccc(Cl)cc3)cc2F)no1,24.0
O=S(=O)(Nc1ccc(F)cn1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,42.0
O=S(=O)(Nc1cccnn1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,13.0
O=S(=O)(Nc1ccncn1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,57.0
O=S(=O)(Nc1ncccn1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,12.0
